암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,좌표(X),좌표(Y)
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNjEjJDEjJDAjJDgz,세흥병원,21,병원,210000,부산,210004,부산진구,,47250,부산광역시 부산진구 중앙대로 805 지하2~지상10 층 (부전동),http://www.sehunghospital.co.kr,2009-02-26,16,0,0,0,16,0,0,0,0,0,0,0,0,129.0632074,35.1637714
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQyNjEwMDIjNTEjJDEjJDIjJDgz,센텀병원,21,병원,310000,경기,310800,의정부시,금오동,11753,경기도 의정부시 호국로1519번길 2-29 지하2층 ~지상6층 (금오동),,2007-09-28,8,0,0,0,8,0,0,0,0,0,0,0,0,127.07105,37.753899
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEyMjIjNDEjJDEjJDQjJDgz,센텀사랑의병원,21,병원,210000,부산,210014,부산수영구,,48227,부산광역시 수영구 수영로 711 5~15(9층제외)층 (수영동),,2020-01-16,2,0,0,0,1,0,0,0,0,0,0,0,1,129.1172252,35.1682815
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz,센텀아동병원,21,병원,210000,부산,210009,부산해운대구,,48064,"부산광역시 해운대구 해운대로 407 6층 (우동, 신세계프라자)",,2013-01-10,3,0,0,0,3,0,0,0,0,0,0,0,0,129.1406828,35.1678259
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNTEjJDEjJDYjJDgz,센텀힐병원,21,병원,210000,부산,210009,부산해운대구,,48056,부산광역시 해운대구 해운대로161번길 40 (재송동),,2018-07-23,5,0,0,0,5,0,0,0,0,0,0,0,0,129.1253789,35.1852958
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,센트럴병원,21,병원,320000,강원,320400,원주시,단계동,26411,강원도 원주시 백간길 95 1085-1 (단계동),,2011-02-23,5,0,0,0,5,0,0,0,0,0,0,0,0,127.9341673,37.3521872
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQwMyQzNjE0ODEjNDEjJDEjJDQjJDgz,센트럴아동병원,21,병원,310000,경기,312500,화성시,,18454,"경기도 화성시 동탄지성로 17 지하1~2층 일부층 (반송동, 풍성위버폴리스)",,2015-02-27,6,0,0,0,6,0,0,0,0,0,0,0,0,127.0717648,37.2045705
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjNzEjJDEjJDgjJDgz,소망하나로병원,21,병원,240000,광주,240003,광주서구,,61986,광주광역시 서구 월드컵4강로 110 소망산부인과 1-6층 (화정동),,2015-06-23,3,0,0,0,2,0,0,0,0,0,0,0,1,126.8726989,35.1464102
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQyNjE0ODEjNjEjJDEjJDQjJDgz,소화병원(의료법인 소화병원),21,병원,110000,서울,110014,용산구,,4300,"서울특별시 용산구 청파로 383 (서계동, 소화아동병원)",,1982-04-21,5,0,0,0,5,0,0,0,0,0,0,0,0,126.9686587,37.5537604
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,솔병원,21,병원,110000,서울,110003,강서구,,7592,서울특별시 강서구 방화대로 352 1~4층 (방화동),http://www.sol-hospital.co.kr,2004-06-24,4,1,0,0,3,0,0,0,0,0,0,0,0,126.8173869,37.572376
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ4MiQzNjE4MzIjNjEjJDEjJDAjJDgz,송도미소어린이병원,21,병원,220000,인천,220007,인천연수구,,21998,"인천광역시 연수구 하모니로 158-0 A동 7,8,9층 (송도동,송도타임스페이스)",,2021-03-09,4,0,0,0,4,0,0,0,0,0,0,0,0,126.6422608,37.3832893
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQxMyQyNjEyMjIjNjEjJDEjJDQjJDgz,송도연세병원,21,병원,220000,인천,220007,인천연수구,,22002,인천광역시 연수구 신송로 157-9 3~8층 (송도동),,2022-03-30,5,0,0,0,5,0,0,0,0,0,0,0,0,126.648703,37.3969601
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz,송정사랑병원,21,병원,240000,광주,240004,광주광산구,,62441,"광주광역시 광산구 송도로 232 (송정동, 송정사랑병원)",,2002-05-11,12,0,0,0,12,0,0,0,0,0,0,0,0,126.7973974,35.1341716
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQwMyQzNjE0ODEjODEjJDEjJDIjJDgz,송호욱병원,21,병원,310000,경기,311800,오산시,,18114,경기도 오산시 내삼미로79번길 19 6~10층 (수청동),,2018-04-11,7,0,0,0,7,0,0,0,0,0,0,0,0,127.0643748,37.1694653
